_id,url,distance_from_root,root_url,parent_url
ObjectId(5c9c43f31c1f826b4aeaf9c3),https://www.wmexpress.agency/,0,https://www.wmexpress.agency/,None
ObjectId(5c9c43f41c1f826b4aeaf9c5),http://wmexpress.agency,0,http://wmexpress.agency,None
ObjectId(5c9c43f51c1f826b4aeaf9c7),http://wmexpress.agency/,0,http://wmexpress.agency/,None
ObjectId(5c9c43f81c1f826b4aeaf9c9),https://wmexpress.agency,0,https://wmexpress.agency,None
ObjectId(5c9c43fb1c1f826b4aeaf9cb),https://wmexpress.agency/,0,https://wmexpress.agency/,None
ObjectId(5c9c43fd1c1f826b4aeaf9cd),https://sites.google.com/site/refbsafety2019/,0,https://sites.google.com/site/refbsafety2019/,None
ObjectId(5c9c44031c1f826b4aeaf9cf),https://re-fbsafety4895489489.000webhostapp.com/recovery-chekpoint-login.html,0,https://re-fbsafety4895489489.000webhostapp.com/recovery-chekpoint-login.html,None
ObjectId(5c9c442d1c1f826b4aeaf9d1),http://paypal.net.pl/,0,http://paypal.net.pl/,None
ObjectId(5c9c44561c1f826b4aeaf9d3),http://bectckange.space/,0,http://bectckange.space/,None
ObjectId(5c9c44571c1f826b4aeaf9d5),https://tiny.cc/CuetaPremio,0,https://tiny.cc/CuetaPremio,None
ObjectId(5c9c44571c1f826b4aeaf9d7),https://tikiliwa.com/mobile/login.php?skullid=NDQ1NTk2NDExJjg=,0,https://tikiliwa.com/mobile/login.php?skullid=NDQ1NTk2NDExJjg=,None
ObjectId(5c9c44581c1f826b4aeaf9d9),https://thrycozindarytmda.com/index.php?produto=160189348,0,https://thrycozindarytmda.com/index.php?produto=160189348,None
ObjectId(5c9c44591c1f826b4aeaf9db),http://solicitudpremio.fecilididseguridad.com/,0,http://solicitudpremio.fecilididseguridad.com/,None
ObjectId(5c9c44711c1f826b4aeaf9dd),http://stranoff.com/index.php?produto=432035305,0,http://stranoff.com/index.php?produto=432035305,None
ObjectId(5c9c44cd1c1f826b4aeaf9df),https://www.sopanelas97reais.com/checkout/index.php?produto=574499660,0,https://www.sopanelas97reais.com/checkout/index.php?produto=574499660,None
ObjectId(5c9c44ce1c1f826b4aeaf9e1),http://descontosdecarnaval.com/index.php?produto=909055334,0,http://descontosdecarnaval.com/index.php?produto=909055334,None
ObjectId(5c9c44cf1c1f826b4aeaf9e3),https://cozintherecompatcmtda.com/index.php?produto=260910273,0,https://cozintherecompatcmtda.com/index.php?produto=260910273,None
ObjectId(5c9c44cf1c1f826b4aeaf9e5),https://conjuntosfranklin.com/conjunto/index.php?produto=655691413,0,https://conjuntosfranklin.com/conjunto/index.php?produto=655691413,None
ObjectId(5c9c44d01c1f826b4aeaf9e7),http://chuvadomestica.com.br/index.php?produto=710198195,0,http://chuvadomestica.com.br/index.php?produto=710198195,None
ObjectId(5c9c44d11c1f826b4aeaf9e9),http://agcprontoconjunto.com/index.php?produto=421397414,0,http://agcprontoconjunto.com/index.php?produto=421397414,None
ObjectId(5c9c44d21c1f826b4aeaf9eb),http://sponk.ru/language/overrides/fiban/,0,http://sponk.ru/language/overrides/fiban/,None
ObjectId(5c9c44d41c1f826b4aeaf9ed),http://www.skiywater.com/fibank/,0,http://www.skiywater.com/fibank/,None
ObjectId(5c9c44d51c1f826b4aeaf9ef),http://www.skiywater.com/fibank/account/,0,http://www.skiywater.com/fibank/account/,None
ObjectId(5c9c44d61c1f826b4aeaf9f1),https://smartfarminnovations.com/wp-admin/user/signin/customer_center/customer-IDPP00C638/myaccount/signin/?country.x=US&amp;locale.x=en_US,0,https://smartfarminnovations.com/wp-admin/user/signin/customer_center/customer-IDPP00C638/myaccount/signin/?country.x=US&amp;locale.x=en_US,None
ObjectId(5c9c44d71c1f826b4aeaf9f3),https://wheaten-purge.000webhostapp.com/absa-online/Comfirm_pin.php?AuthSecInformation.aspx&amp;8ta-252-204-18.telkomadsl.co.za,0,https://wheaten-purge.000webhostapp.com/absa-online/Comfirm_pin.php?AuthSecInformation.aspx&amp;8ta-252-204-18.telkomadsl.co.za,None
ObjectId(5c9c44da1c1f826b4aeaf9f5),http://long-11.ml/abasa/ib.absa.x/need5.php,0,http://long-11.ml/abasa/ib.absa.x/need5.php,None
ObjectId(5c9c45381c1f826e140d8f60),http://long-11.ml/abasa/ib.absa.x/need5.php,0,http://long-11.ml/abasa/ib.absa.x/need5.php,None
